GBE,FBSK
GNZ,FBGZ
JWA,FBJW
BBK,FBKE
KHW,FBKR
MUB,FBMN
ORP,FBOR
PKW,FBSP
SWX,FBSW
TBY,FBTS
TLD,FBTL
AJU,SBAR
BEL,SBBE
PLU,SBBH
CNF,SBCF
BVB,SBBV
BSB,SBBR
VCP,SBKP
CGR,SBCG
CMG,SBCR
CZS,SBCZ
CGB,SBCY
CWB,SBCT
FLN,SBFL
FOR,SBFZ
IGU,SBFI
GYN,SBGO
IOS,SBIL
IMP,SBIZ
JPA,SBJP
JOI,SBJV
LDB,SBLO
MCP,SBMQ
MCZ,SBMO
MAO,SBEG
MAB,SBMA
MGF,SBMG
NAT,SBNT
NVT,SBNF
PMW,SBPJ
PMG,SBPP
POA,SBPA
BPS,SBPS
PVH,SBPV
REC,SBRF
RAO,SBRP
RBR,SBRB
GIG,SBGL
SDU,SBRJ
SSA,SBSV
STM,SBSN
SJP,SBSR
SLZ,SBSL
CGH,SBSP
GRU,SBGR
THE,SBTE
UDI,SBUL
VIX,SBVT
EIS,TUPJ
VIJ,TUPW
BWN,WBSB
BOJ,LBBG
GOZ,LBGO
PDV,LBPD
SOF,LBSF
VAR,LBWN
XGA,DFOG
BNR,DFOB
BOY,DFOO
DGU,DFOD
DOR,DFEE
FNG,DFEF
XGG,DFEG
XKA,DFEL
XNU,DFON
OUA,DFFD
OUG,DFCC
TEG,DFET
BJM,HBBA
GID,HBBE
KRE,HBBO
IATA,ICAO
BBM,VDBG
PNH,VDPP
REP,VDSR
BFX,FKKU
BPC,FKKV
OUR,FKKI
BTA,FKKO
DLA,FKKD
DSC,FKKS
EBW,FKKW
FOM,FKKM
GOU,FKKR
KBI,FKKB
MMF,FKKF
MVR,FKKL
NGE,FKKN
TKC,FKKC
NSI,FKYS
YAO,FKKY
ZMH,CZML
YXX,CYXX
LAK,CYKD
AKV,CYKO
YAL,CYAL
YLT,CYLT
YTF,CYTF
YEY,CYEY
YAA,CAJ4
YAX,CKB6
YYW,CYYW
YEK,CYEK
YIB,CYIB
YAT,CYAT
YPJ,CYLA
YBG,CYBG
YBC,CYBC
YBK,CYBK
ZBF,CZBF
XBE,CNE3
YXQ,CYXQ
ZEL,CYJQ
QBC,CYBD
YBV,CYBV
YTL,CYTL
YBI,CCE4
YDV,CZTA
YVB,CYVB
YBY,CYBF
YDT,CZBB
YBR,CYBR
YBT,CYBT
XBR,CNL3
ZBM,CZBM
YBM,CAB5
YVT,CYVT
YPZ,CYPZ
YDB,CYDB
YYC,CYYC
YCB,CYCB
YBL,CYBL
YTE,CYTE
YRF,CYCA
YCG,CYCG
YAC,CYAC
YCE,CYCE
YLD,CYLD
YML,CYML
YCL,CYCL
YHG,CCH4
YYG,CYYG
XCM,CNZ3
YCS,CYCS
YCQ,CYCQ
YHR,CYHR
YMT,CYMT
YCW,CYCW
ZUM,CZUM
YYQ,CYYQ
XCL,CJS3
YCY,CYCY
YCN,CYCN
YOD,CYOD
YKC,CYKC
YCK,CEB3
YQQ,CYQQ
YZS,CYZS
YCC,CYCC
YCT,CYCT
YCA,CAH3
YYM,CYYM
YXC,CYXC
YCR,CYCR
YDN,CYDN
YDI,CCB4
YDQ,CYDQ
YDA,CYDA
YDL,CYDL
YDF,CYDF
YVZ,CYVZ
YWJ,CYWJ
YDG,CYID
YDO,CYDO
YDC,CER3
YHD,CYHD
DUQ,CAM3
YXR,CYXR
ZEM,CZEM
YEG,CYEG
YXD,CYXD
YET,CYET
YEL,CYEL
YEN,CYEN
YEU,CYEU
YCZ,CYCZ
ZFW,CEB5
ZFA,CZFA
YFO,CYFO
ZFD,CZFD
YFC,CYFC
YFA,CYFA
YPY,CYPY
YAG,CYAG
YGH,CYGH
YFH,CYFH
YJF,CYJF
YMM,CYMM
ZFM,CZFM
YYE,CYYE
ZFN,CZFN
YFR,CYFR
YER,CYER
YFS,CYFS
YSM,CYSM
YXJ,CYXJ
YQX,CYQX
YGP,CYGP
YND,CYND
YGQ,CYGQ
YGX,CYGX
YGM,CYGM
YHK,CYHK
YGO,CYGO
ZGI,CZGI
YYR,CYYR
YZE,CYZE
ZGF,CZGF
YGC,CEQ5
YQU,CYQU
YZX,CYZX
YGZ,CYGZ
YHT,CYHT
YHZ,CYHZ
YAW,CYAW
YUX,CYUX
YHM,CYHM
YDJ,CJL2
YGV,CYGV
YHY,CYHY
YHF,CYHF
YOJ,CYOJ
ZHP,CZHP
YJA,CEC4
YHI,CYHI
YHE,CYHE
YHO,CYHO
YHN,CYHN
YHB,CYHB
YNH,CYNH
YGT,CYGT
ZUC,CZUC
YGR,CYGR
ILF,CZBD
YPH,CYPH
YEV,CYEV
YFB,CYFB
YIV,CYIV
YIK,CYIK
ZJG,CZJG
YKA,CYKA
XGR,CYLU
YWB,CYKG
YKG,CYAS
YYU,CYYU
XKS,CYAQ
YDU,CJL8
ZKE,CZKE
KEW,CPV8
YLW,CYLW
KES,CZEE
YQK,CYQK
YKJ,CYKJ
YKD,CNS7
YKY,CYKY
KIF,CNM5
YGK,CYGK
YKX,CYKX
YKF,CYKF
YCO,CYCO
YVP,CYVP
YGW,CYGW
YGL,CYGL
YVC,CYVC
SSQ,CSR8
YLQ,CYLQ
XLB,CZWH
